sentiment,text
positive,RT @MLBNetwork: #PlayBall!\n\nCheck out every episode of our kids show right here: https://t.co/9kRFNiWSVR https://t.co/6AombXoSI8
neutral,RT @BrightMinho: โปรแกรมที่ใช้ทำงานบน MacBook \n\nPages = Word\nKeyNote = PowerPoint\nNumbers = Excel\n\nซึ่งโปรแกรมพวกนี้ Apple ให้ฟรีมาในเครื่อ…
neutral,RT @BTSPublicity: Pre add 'Dynamite' on Apple Music!\n\nhttps://t.co/X6hAQ7JnTa @bts_twt
neutral,RT @BTSPublicity: Pre add 'Dynamite' on Apple Music!\n\nhttps://t.co/X6hAQ7JnTa @bts_twt
positive,RT @BTSChartDaily: 🚨 @BTS_twt's new Single 'Dynamite' will be out on August 21\n\n• Pre-save on Spotify\nhttps://t.co/JPeDHXix4d\n• Pre-add on…
neutral,RT @illflykickyou: Shawty a lil baddie shawty got them apple bottom jeans go shawty it’s your birthday shawty like a melody in my head
negative,@IntrinsicInv Apple had a 7:1 split in june 2014. Depends what you mean by underperformance.
neutral,“I see a lot of gammon in the village” https://t.co/4ZlhxvoJ34
negative,RT @TwoFilthyNerds: Here is #NicolesPreDICKtion about what’s to come of Snape in the last three books. (Please reply with WRONG spoilers on…
neutral,RT @illflykickyou: Shawty a lil baddie shawty got them apple bottom jeans go shawty it’s your birthday shawty like a melody in my head
neutral,"RT @GottaLaff: 'Archbishop' of Florida church selling bleach 'miracle cure' arrested with son. \nMark Grenon and his son, Joseph Grenon, arr…"
neutral,Apple Music Beta Website Reveals What Your Music Will Look like in iOS 14 https://t.co/AQhfAew9I9
positive,This is a phenomenal article that makes a very important point (not that people who actually think rationally don’t… https://t.co/UAY2fXC4uq
positive,RT @BB_Votaciones: INFO 📈 [@BTS_twt]\n\n'Sweet Night’ Cuenta ahora con 116 #1 en iTunes 🎉\n\n#V es el primer y único artista en la historia en…
positive,Apple Music gives no fuck
neutral,Yo anoche en google: Apple Watch serie 5\n\nHoy la publicidad de todas las redes sociales: compra un Apple Watch hasta en 24 cuotas ;)))
neutral,RT @Starting9: Episode #185:\n\n- Return visit/interview with Trevor Bauer (@BauerOutage)\n\n- Clevinger/Plesac\n\n- Laureano/Cintron\n\n- The rise…
positive,"RT @joshuawongcf: 3/ The publisher Jimmy Lai, whose media company puts out the popular tabloid Apple Daily, has long been one of Beijing’s…"
positive,"RT @MrEdwardMilner: The Original, 46%\nPalate, continued:\nConfectionery sweetness, honey, biscuit malt, strawberries, pear, orange peel and…"
positive,Samples...a love language  https://t.co/NyRxSSahzC
neutral,"RT @JoelOsteen: When you remember what God said, you won’t be worried; you’ll have peace in the midst of the storm. You’ll have faith to be…"
neutral,RT @illflykickyou: Shawty a lil baddie shawty got them apple bottom jeans go shawty it’s your birthday shawty like a melody in my head
positive,@WeNurses Awww! Well tell my Apple watch please! It said I only managed 28 minutes 😫😫😫😫
positive,"@calstate @Logitech Since many students may already have earbuds w/ integrated mics (e.g., those that may come stan… https://t.co/wj19FM5bVH"
negative,RT @FoundersGyan: Apple Sues Small Business With Pear Logo Because 'People Can Get Confused' https://t.co/R12ZSIA1VT https://t.co/gN8yG47B3r
positive,"RT @daebakshow: What happened to this poor kitten that hid under @ericnamofficial 's car? 🥺 Thankfully, it landed in good hands.\n\nDaebak Fa…"
neutral,RT @msasot: $AAPL - Apple: Not Too Big To Grow Further. https://t.co/12VGCvrJkL  #BUYAAPL
negative,RT @SheRatesDogs: KEEPING THIS SECRET HAS BEEN SO HARD!!! I’m so excited to finally tell you guys about SheRatesDogs The Podcast!!! Me (@Mi…
neutral,「ゆっくり」を、ゆっくり育てる、ゆっくり育成ゲームで、ゆっくり遊んでみませんか？\nAndroid https://t.co/6LBLMox7VT\niPhone https://t.co/2MqKMMae88\n#ゆっくり育てていってね https://t.co/Pv7BSF83dq
neutral,@konoharu9696 あ～～～～APPLEさん😭遅い時間まで😭こちらこそありがとうございますとっても嬉しいです…！また嬉しいお言葉に助けられました(;_;)シャニライ、凄かったですね…！ありがたやありがたや…
neutral,Apple Dumpling Gang. https://t.co/uYqh5LLBzd
neutral,AirPods Pro mwp22j/a air pods pro airpodspro エアポッド エアーポッズ 本体 エアポッズプロ Bluetooth ■◇ Apple 送料無料 保証未開始品\nhttps://t.co/TeMKueo47q
neutral,RT @illflykickyou: Shawty a lil baddie shawty got them apple bottom jeans go shawty it’s your birthday shawty like a melody in my head
neutral,https://t.co/apztnTsR0U
neutral,RT @illflykickyou: Shawty a lil baddie shawty got them apple bottom jeans go shawty it’s your birthday shawty like a melody in my head
positive,RT @HighSpririt: Keep Streaming #TooUgly by SHATTA WALE!\n\nSpotify \nhttps://t.co/varAgurKdo\n\nDeezer \nhttps://t.co/8Dm6PmYV2S\n\nYouTube (Lyric…
positive,"RT @ki_vonLashaeeee: Greetings from Camp Cash App #cashapplib 💚 Due to #COVID19 Sending $500 to the first 300 people that like , retweet &amp;…"
positive,"RT @NRGgg: what does it take to be great? @amiller and @H3CZ discuss the best in esports, business &amp; sports to find out what defines greatn…"
positive,"RT @ASP: . @RepKimSchrier, a trained Pediatrician, on Russia's alleged COVID Vaccine, \I wouldn't stick that in my arm\"" — Learn more about…"""
positive,"Quick vent...we pay all this money to go to college and yet, as alumni, we don't get to keep our student Microsoft… https://t.co/ZJitUmC1aR"
positive,RT @BTSGlobalCharts: 🇪🇬 iTunes Egypt 🇪🇬\n\n#1 I Need U (NEW)\n\n*2nd #1's \n@BTS_twt \nhttps://t.co/BRREgOFg1W
neutral,https://t.co/m03jfng6La
neutral,@apple you aren’t doing anything to promote underground hip-hop when your UGHH Essentials playlist has Nat and JAY-… https://t.co/tKUMIqqqGH
neutral,"RT @chartdata_naija: .@fireboydml's \Eli\"" has reached #1 on Uganda apple (songs)."""
neutral,https://t.co/jwIaN3RCFg
negative,RT @Nasty_CSA: Fuck it! TAG 3 PEOPLE &amp; tell them PRE-SAVE THIS!!  https://t.co/tnTJyD29XK https://t.co/7z34sOKBWV
neutral,@WSK9002 @TheApexFan Is fiona apple included in that? 🤔 https://t.co/FgBOJadi1G
negative,"A few month's loss of pay, and you'll there, with them, tonight. Then the “Police In Centerville” won't want YOU ha… https://t.co/Wdn0PTmvtj"
neutral,i need tiny tan apple pencil holders
neutral,RT @daitojimari: TikTokによる不正なデータ収集により、AppleやGoogleのストアからの中国が関与するアプリの排除、キャリア等の中国メーカー製通信端末が加速するでしょう。各国政府も動きだしましたからね。
neutral,RT @BTSPublicity: Pre add 'Dynamite' on Apple Music!\n\nhttps://t.co/X6hAQ7JnTa @bts_twt
negative,"RT @WrestlingWIdeas: Episode 180 is up! #WWE and #AEW are discussed, we rank every Royal Rumble winner and reveal a special guest who will…"
neutral,Merci à @holy_wateer qui m’a fait rentré dans la team Apple
neutral,RT @il2ynn: ಥ_ಥ แสนชอบ หอมหวานเหมือนความทรงจำวัยคอซอง\n.\nฝากเพลงป๊อบ ฟังสบาย จากนักร้องหน้าแมว นิสัยก็แมวคนนี้ไว้ในอ้อมใจด้วยนะคะ\nApple Musi…
neutral,Just being neighborly 🎙              https://t.co/LxM7TnOKwT
negative,Old Victorian apple green jade pearls 14k gold grape pendant by SummitTreasures https://t.co/80k6urhKN2 via @Etsy
neutral,@tim_cook @lisa_jackson @apple #BLM #TakeItDown #WilcoPatriots does having a confederate statue in  county with you… https://t.co/wDMOJKhxrB
positive,RT @Nasty_CSA: https://t.co/tnTJyD29XK\n\nAdd this right now!! https://t.co/AK0QvViQVK
